character	reading	key	audio
ㄅ	b	1	1_B.mp3
ㄆ	p	q	2_P.mp3
ㄇ	m	a	3_M.mp3
ㄈ	f	z	4_F.mp3
ㄉ	d	2	5_D.mp3
ㄊ	t	w	6_T.mp3
ㄋ	n	s	7_N.mp3
ㄌ	l	x	8_L.mp3
ㄍ	g	e	9_G.mp3
ㄎ	k	d	10_K.mp3
ㄏ	h	c	11_H.mp3
ㄐ	j	r	12_J.mp3
ㄑ	q	f	13_Q.mp3
ㄒ	x	v	14_X.mp3
ㄓ	zhi	5	15_ZH.mp3
ㄔ	chi	t	16_CH.mp3
ㄕ	shi	g	17_SH.mp3
ㄖ	ri	b	18_R.mp3
ㄗ	zi	y	19_Z.mp3
ㄘ	ci	h	20_C.mp3
ㄙ	si	n	21_S.mp3
ㄧ	i	u	35_I.mp3
ㄨ	wu	j	36_U.mp3
ㄩ	yu	m	37_U.mp3
ㄚ	a	8	22_A.mp3
ㄛ	o	i	23_O.mp3
ㄜ	e	k	24_E.mp3
ㄝ	ie	,	25_E.mp3
ㄞ	ai	9	26_AI.mp3
ㄟ	ei	o	27_EI.mp3
ㄠ	ao	l	28_AO.mp3
ㄡ	ou	.	29_OU.mp3
ㄢ	an	0	30_AN.mp3
ㄣ	en	p	31_EN.mp3
ㄤ	ang	;	32_ANG.mp3
ㄥ	eng	/	33_ENG.mp3
ㄦ	er	-	34_ER.mp3
