character	reading	key	audio
ㅂ	b	q	h/ZLkot2Ih4G.mp3
ㄷ	d	e	h/VvXShfaHAm.mp3
ㄱ	g	r	h/ESBkZiFbKc.mp3
ㅎ	h	g	h/FkYfCTYAOf.mp3
ㅈ	j	w	h/YrUh77rLbv.mp3
ㄹ	l	f	h/rf0YunvqEm.mp3
ㅁ	m	a	h/0m2sBZqj1k.mp3
ㄴ	n	s	h/681eGuS40B.mp3
ㅅ	s	t	h/1AIvmeBVi5.mp3
ㅋ	k	z	h/NMXYNJw3Da.mp3
ㅌ	t	x	h/iyLcgDoAX9.mp3
ㅍ	p	v	h/vmdPy93WOX.mp3
ㅊ	ch	c	h/Fcvg6xLrk7.mp3
ㅇ	ng	d	h/pymkQqjSAT.mp3
ㅣ	i	l	h/Pj5HAS2iEJ.mp3
ㅡ	eu	m	h/f3r9pWjBqF.mp3
ㄸ	tt	e	h/F8VepA96v1.mp3
ㅉ	jj	w	h/D2YQaIAAYw.mp3
ㄲ	kk	r	h/PIPGtBUP93.mp3
ㅃ	pp	q	h/YfQaHek7o5.mp3
ㅆ	ss	t	h/ZtdW0b1UAB.mp3
ㅔ	e	p	h/bCyjMQS2ty.mp3
ㅐ	ae	o	h/YBOKGyUy6n.mp3
ㅖ	ye	p	h/FrMCEl75vj.mp3
ㅒ	yae	o	h/pCqETsNS1r.mp3
ㅢ	eui		h/Tnr1GGswAd.mp3
ㅘ	wa		h/cIY1gfSrLK.mp3
ㅙ	wae		h/0XrZe9HluH.mp3
ㅚ	we		h/enoMa9o1KX.mp3
ㅟ	wi		h/t50u695u7M.mp3
ㅝ	weo		h/6tUQGBwURO.mp3
ㅞ	we		h/sDvnEZbm4m.mp3
ㅛ	yo	y	h/eUFbDhL3rP.mp3
ㅗ	o	h	h/DHFD3QPg9u.mp3
ㅜ	u	n	h/Nyrt0qDYZH.mp3
ㅠ	yu	b	h/xwyFbhR8sP.mp3
ㅓ	eo	j	h/jLEVVkXGI9.mp3
ㅏ	a	k	
ㅑ	ya	i	
